mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
3	3	1/16	1/16	4/4	28	1	1/32		1/32	1		7	73	280
3	3	1/16	1/16	4/4	27	1	1/32		1/32	1		4	76	256
3	3	1/16	1/16	4/4	25	1	1/32		1/32	1		1	79	208
3	3	1/16	1/16	4/4	26	1	1/32		1/32	1		1	79	232
3	3	1/16	1/16	4/4	23	1	1/32		1/32	1		10	82	160
3	3	1/16	1/16	4/4	24	1	1/32		1/32	1		10	82	184
3	3	1/16	1/16	4/4	22	1	1/32		1/32	1		7	85	136
3	3	1/16	1/16	4/4	21	1	1/32		1/32	1		4	88	112
3	3	1/8	1/8	4/4	28	1	1/32		1/32	1		10	70	281
3	3	1/8	1/8	4/4	27	1	1/32		1/32	1		7	73	257
3	3	1/8	1/8	4/4	26	1	1/32		1/32	1		4	76	233
3	3	1/8	1/8	4/4	25	1	1/32		1/32	1		1	79	209
3	3	1/8	1/8	4/4	23	1	1/32		1/32	1		7	85	161
3	3	1/8	1/8	4/4	24	1	1/32		1/32	1		7	85	185
3	3	1/8	1/8	4/4	22	1	1/32		1/32	1		4	88	137
3	3	1/8	1/8	4/4	21	1	1/32		1/32	1		1	91	113
3	3	5/32	5/32	4/4	28	1	1/32		1/32	1		5	71	282
3	3	5/32	5/32	4/4	27	1	1/32		1/32	1		2	74	258
3	3	5/32	5/32	4/4	25	1	1/32		1/32	1		6	78	210
3	3	5/32	5/32	4/4	26	1	1/32		1/32	1		6	78	234
3	3	5/32	5/32	4/4	23	1	1/32		1/32	1		5	83	162
3	3	5/32	5/32	4/4	24	1	1/32		1/32	1		5	83	186
3	3	5/32	5/32	4/4	22	1	1/32		1/32	1		2	86	138
3	3	5/32	5/32	4/4	21	1	1/32		1/32	1		6	90	114
3	3	3/16	3/16	4/4	28	1	1/32		1/32	1		7	73	283
3	3	3/16	3/16	4/4	27	1	1/32		1/32	1		4	76	259
3	3	3/16	3/16	4/4	25	1	1/32		1/32	1		1	79	211
3	3	3/16	3/16	4/4	26	1	1/32		1/32	1		1	79	235
3	3	3/16	3/16	4/4	23	1	1/32		1/32	1		10	82	163
3	3	3/16	3/16	4/4	24	1	1/32		1/32	1		10	82	187
3	3	3/16	3/16	4/4	22	1	1/32		1/32	1		7	85	139
3	3	3/16	3/16	4/4	21	1	1/32		1/32	1		4	88	115
3	3	1/4	1/4	4/4	28	1	1/32		1/32	1		10	70	284
3	3	1/4	1/4	4/4	27	1	1/32		1/32	1		7	73	260
3	3	1/4	1/4	4/4	26	1	1/32		1/32	1		4	76	236
3	3	1/4	1/4	4/4	25	1	1/32		1/32	1		1	79	212
3	3	1/4	1/4	4/4	23	1	1/32		1/32	1		7	85	164
3	3	1/4	1/4	4/4	24	1	1/32		1/32	1		7	85	188
3	3	1/4	1/4	4/4	22	1	1/32		1/32	1		4	88	140
3	3	1/4	1/4	4/4	21	1	1/32		1/32	1		1	91	116
3	3	9/32	9/32	4/4	28	1	1/32		1/32	1		5	71	285
3	3	9/32	9/32	4/4	27	1	1/32		1/32	1		2	74	261
3	3	9/32	9/32	4/4	25	1	1/32		1/32	1		6	78	213
3	3	9/32	9/32	4/4	26	1	1/32		1/32	1		6	78	237
3	3	9/32	9/32	4/4	23	1	1/32		1/32	1		5	83	165
3	3	9/32	9/32	4/4	24	1	1/32		1/32	1		5	83	189
3	3	9/32	9/32	4/4	22	1	1/32		1/32	1		2	86	141
3	3	9/32	9/32	4/4	21	1	1/32		1/32	1		6	90	117
