mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
7	6	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	57
7	6	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	63
8	7	0	0	3/4	2	1	1/4	1/4	1		-3	39	76
8	7	0	0	3/4	2	1	1/4	1/4	1		-3	51	76
8	7	0	0	3/4	1	2	1/8	1/8	1		-3	75	70
8	7	0	0	3/4	1	1	1/4	1/4	1		-3	75	67
8	7	1/8	1/8	3/4	1	2	1/8	1/8	1		-3	63	71
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	51	77
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	77
8	7	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	77
8	7	1/4	1/4	3/4	1	2	1/8	1/8	1		-5	73	72
8	7	1/4	1/4	3/4	1	1	1/4	1/4	1		-5	73	68
8	7	3/8	3/8	3/4	1	2	1/8	1/8	1		-3	63	73
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	51	78
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	78
8	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	78
8	7	1/2	1/2	3/4	1	2	1/8	1/8	1		-2	70	74
8	7	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	69
8	7	5/8	5/8	3/4	1	2	1/8	1/8	1		-3	63	75
9	8	0	0	3/4	2	1	1/2	1/2	1		-4	56	85
9	8	0	0	3/4	2	1	1/2	1/2	1		0	60	85
9	8	0	0	3/4	1	1	1/8	1/8	1		-4	68	79
9	8	1/8	1/8	3/4	1	1	1/8	1/8	1		1	67	80
9	8	1/4	1/4	3/4	1	1	1/8	1/8	1		-2	70	81
9	8	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	82
9	8	1/2	1/2	3/4	1	1	1/8	1/8	1		1	67	83
9	8	5/8	5/8	3/4	1	1	1/8	1/8	1		-4	68	84
10	9	0	0	3/4	2	1	1/4	1/4	1		-5	49	93
10	9	0	0	3/4	1	2	1/8	1/8	1		-1	77	87
10	9	0	0	3/4	1	1	3/4	1/2	3/2		-1	77	86
10	9	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	88
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	94
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	94
10	9	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	94
10	9	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	89
10	9	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	90
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	95
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	95
10	9	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	95
10	9	1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	91
10	9	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	92
11	10	0	0	3/4	2	1	1/4	1/4	1		-5	49	105
11	10	0	0	3/4	1	2	1/8	1/8	1		-5	73	99
11	10	0	0	3/4	1	1	1/4	1/4	1		-5	73	96
11	10	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	100
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	106
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	106
11	10	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	106
11	10	1/4	1/4	3/4	1	2	1/8	1/8	1		-3	75	101
11	10	1/4	1/4	3/4	1	1	1/4	1/4	1		-3	75	97
11	10	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	102
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	107
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	107
11	10	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	107
11	10	1/2	1/2	3/4	1	2	1/8	1/8	1		-1	77	103
11	10	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	98
11	10	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	104
12	11	0	0	3/4	2	1	1/4	1/4	1		0	48	117
12	11	0	0	3/4	1	2	1/8	1/8	1		-4	80	111
12	11	0	0	3/4	1	1	1/4	1/4	1		-4	80	108
12	11	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	112
12	11	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	118
12	11	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	118
12	11	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	118
12	11	1/4	1/4	3/4	1	2	1/8	1/8	1		1	79	113
12	11	1/4	1/4	3/4	1	1	1/4	1/4	1		1	79	109
12	11	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	114
12	11	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	119
12	11	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	119
12	11	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	119
12	11	1/2	1/2	3/4	1	2	1/8	1/8	1		-6	78	115
12	11	1/2	1/2	3/4	1	1	1/4	1/4	1		-6	78	110
12	11	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	116
13	12	0	0	3/4	2	1	1/4	1/4	1		-4	44	127
13	12	0	0	3/4	1	2	1/8	1/8	1		-3	75	121
13	12	0	0	3/4	1	1	3/4	1/2	3/2		-3	75	120
13	12	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	122
13	12	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	128
13	12	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	128
13	12	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	63	128
13	12	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	123
13	12	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	124
13	12	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	129
13	12	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	129
13	12	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	129
13	12	1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	125
13	12	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	126
14	13	0	0	3/4	2	1	1/4	1/4	1		-5	49	138
14	13	0	0	3/4	1	2	1/8	1/8	1		-1	77	132
14	13	0	0	3/4	1	1	1/2	1/2	1		-1	77	130
14	13	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	133
14	13	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	139
14	13	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	139
14	13	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	139
14	13	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	134
14	13	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	135
14	13	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	140
14	13	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	140
14	13	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	140
14	13	1/2	1/2	3/4	1	2	1/8	1/8	1		-5	73	136
14	13	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	73	131
14	13	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	137
15	14	0	0	3/4	2	1	1/4	1/4	1		3	45	149
15	14	0	0	3/4	1	2	1/8	1/8	1		4	76	143
15	14	0	0	3/4	1	1	1/2	1/2	1		4	76	141
15	14	1/8	1/8	3/4	1	2	1/8	1/8	1		3	69	144
15	14	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	150
15	14	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	150
15	14	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	150
15	14	1/4	1/4	3/4	1	2	1/8	1/8	1		8	68	145
15	14	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69	146
15	14	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	151
15	14	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	151
15	14	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	151
15	14	1/2	1/2	3/4	1	2	1/8	1/8	1		7	73	147
15	14	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	142
15	14	5/8	5/8	3/4	1	2	1/8	1/8	1		3	69	148
16	15	0	0	3/4	2	1	1/4	1/4	1		4	40	161
16	15	0	0	3/4	1	2	1/8	1/8	1		4	76	155
16	15	0	0	3/4	1	1	1/4	1/4	1		4	76	152
16	15	1/8	1/8	3/4	1	2	1/8	1/8	1		4	64	156
16	15	1/4	1/4	3/4	2	1	1/4	1/4	1		4	52	162
16	15	1/4	1/4	3/4	2	1	1/4	1/4	1		8	56	162
16	15	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	162
16	15	1/4	1/4	3/4	1	2	1/8	1/8	1		2	74	157
16	15	1/4	1/4	3/4	1	1	1/4	1/4	1		2	74	153
16	15	3/8	3/8	3/4	1	2	1/8	1/8	1		4	64	158
16	15	1/2	1/2	3/4	2	1	1/4	1/4	1		4	52	163
16	15	1/2	1/2	3/4	2	1	1/4	1/4	1		8	56	163
16	15	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	163
16	15	1/2	1/2	3/4	1	2	1/8	1/8	1		5	71	159
16	15	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	154
16	15	5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	160
17	16	0	0	3/4	2	1	1/2	1/2	1		3	57	170
17	16	0	0	3/4	2	1	1/2	1/2	1		7	61	170
17	16	0	0	3/4	1	1	1/8	1/8	1		3	69	164
17	16	1/8	1/8	3/4	1	1	1/8	1/8	1		8	68	165
17	16	1/4	1/4	3/4	1	1	1/8	1/8	1		5	71	166
17	16	3/8	3/8	3/4	1	1	1/8	1/8	1		3	69	167
17	16	1/2	1/2	3/4	1	1	1/8	1/8	1		8	68	168
17	16	5/8	5/8	3/4	1	1	1/8	1/8	1		3	69	169
18	17	0	0	3/4	2	1	1/4	1/4	1		2	50	178
18	17	0	0	3/4	1	2	1/8	1/8	1		6	78	172
18	17	0	0	3/4	1	1	3/4	1/2	3/2		6	78	171
18	17	1/8	1/8	3/4	1	2	1/8	1/8	1		3	69	173
18	17	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	179
18	17	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	179
18	17	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	179
18	17	1/4	1/4	3/4	1	2	1/8	1/8	1		8	68	174
18	17	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69	175
18	17	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	180
18	17	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	180
18	17	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	180
18	17	1/2	1/2	3/4	1	2	1/8	1/8	1		8	68	176
18	17	5/8	5/8	3/4	1	2	1/8	1/8	1		3	69	177
19	18	0	0	3/4	2	1	1/4	1/4	1		2	50	190
19	18	0	0	3/4	1	2	1/8	1/8	1		6	78	184
19	18	0	0	3/4	1	1	1/4	1/4	1		6	78	181
19	18	1/8	1/8	3/4	1	2	1/8	1/8	1		3	69	185
19	18	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	191
19	18	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	191
19	18	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	191
19	18	1/4	1/4	3/4	1	2	1/8	1/8	1		8	80	186
19	18	1/4	1/4	3/4	1	1	1/4	1/4	1		8	80	182
19	18	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69	187
19	18	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	192
19	18	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	192
19	18	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	192
19	18	1/2	1/2	3/4	1	2	1/8	1/8	1		3	81	188
19	18	1/2	1/2	3/4	1	1	1/4	1/4	1		3	81	183
19	18	5/8	5/8	3/4	1	2	1/8	1/8	1		3	69	189
20	19	0	0	3/4	2	1	1/4	1/4	1		3	45	202
20	19	0	0	3/4	1	2	1/8	1/8	1		3	81	196
20	19	0	0	3/4	1	1	1/4	1/4	1		3	81	193
20	19	1/8	1/8	3/4	1	2	1/8	1/8	1		3	69	197
20	19	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	203
20	19	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	203
20	19	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	203
20	19	1/4	1/4	3/4	1	2	1/8	1/8	1		4	76	198
20	19	1/4	1/4	3/4	1	1	1/4	1/4	1		4	76	194
20	19	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69	199
20	19	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	204
20	19	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	204
20	19	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	204
20	19	1/2	1/2	3/4	1	2	1/8	1/8	1		4	76	200
20	19	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76	195
20	19	5/8	5/8	3/4	1	2	1/8	1/8	1		3	69	201
21	20	0	0	3/4	2	1	1/4	1/4	1		3	45	212
21	20	0	0	3/4	1	2	1/8	1/8	1		4	76	206
21	20	0	0	3/4	1	1	3/4	1/2	3/2		4	76	205
21	20	1/8	1/8	3/4	1	2	1/8	1/8	1		3	69	207
21	20	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	213
21	20	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	213
21	20	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	213
21	20	1/4	1/4	3/4	1	2	1/8	1/8	1		8	68	208
21	20	3/8	3/8	3/4	1	2	1/8	1/8	1		3	69	209
21	20	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	214
21	20	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	214
21	20	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	214
21	20	1/2	1/2	3/4	1	2	1/8	1/8	1		5	71	210
21	20	5/8	5/8	3/4	1	2	1/8	1/8	1		3	69	211
22	21	0	0	3/4	2	1	1/4	1/4	1		3	45	222
22	21	0	0	3/4	1	2	1/8	1/8	1		1	79	216
22	21	0	0	3/4	1	1	3/4	1/2	3/2		1	79	215
22	21	1/8	1/8	3/4	1	2	1/8	1/8	1		7	73	217
22	21	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	223
22	21	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	223
22	21	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	223
22	21	1/4	1/4	3/4	1	2	1/8	1/8	1		12	72	218
22	21	3/8	3/8	3/4	1	2	1/8	1/8	1		7	73	219
22	21	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	224
22	21	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	224
22	21	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	224
22	21	1/2	1/2	3/4	1	2	1/8	1/8	1		9	75	220
22	21	5/8	5/8	3/4	1	2	1/8	1/8	1		7	73	221
23	22	0	0	3/4	2	1	1/4	1/4	1		-4	44	232
23	22	0	0	3/4	1	2	1/8	1/8	1		-4	80	226
23	22	0	0	3/4	1	1	3/4	1/2	3/2		-4	80	225
23	22	1/8	1/8	3/4	1	2	1/8	1/8	1		-5	73	227
23	22	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	233
23	22	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	61	233
23	22	1/4	1/4	3/4	2	1	1/4	1/4	1		-1	65	233
23	22	1/4	1/4	3/4	1	2	1/8	1/8	1		0	72	228
23	22	3/8	3/8	3/4	1	2	1/8	1/8	1		-5	73	229
23	22	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	234
23	22	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	61	234
23	22	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65	234
23	22	1/2	1/2	3/4	1	2	1/8	1/8	1		-1	77	230
23	22	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	231
24	23	0	0	3/4	2	1	1/4	1/4	1		-4	44	244
24	23	0	0	3/4	1	2	1/8	1/8	1		-4	80	238
24	23	0	0	3/4	1	1	1/4	1/4	1		-4	80	235
24	23	1/8	1/8	3/4	1	2	1/8	1/8	1		-4	68	239
24	23	1/4	1/4	3/4	2	1	1/4	1/4	1		-4	56	245
24	23	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	245
24	23	1/4	1/4	3/4	2	1	1/4	1/4	1		-6	66	245
24	23	1/4	1/4	3/4	1	2	1/8	1/8	1		-6	78	240
24	23	1/4	1/4	3/4	1	1	1/4	1/4	1		-6	78	236
24	23	3/8	3/8	3/4	1	2	1/8	1/8	1		-4	68	241
24	23	1/2	1/2	3/4	2	1	1/4	1/4	1		-4	56	246
24	23	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	246
24	23	1/2	1/2	3/4	2	1	1/4	1/4	1		-6	66	246
24	23	1/2	1/2	3/4	1	2	1/8	1/8	1		-3	75	242
24	23	1/2	1/2	3/4	1	1	1/4	1/4	1		-3	75	237
24	23	5/8	5/8	3/4	1	2	1/8	1/8	1		-4	68	243
26	24	0	0	3/4	2	1	1/2	1/2	1		-5	61	251
26	24	0	0	3/4	2	1	1/2	1/2	1		-1	65	251
26	24	0	0	3/4	1	1	1/2	1/2	1		-5	73	250
